What gender do you identify with?,What is your age?,Age range,What is your race?,About how much money do you make per year?,What is your highest level of education?,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","The typical Hollywood movie star is paid about 10 or 20 million dollars for every movie that they star in. Do you think it is fair that they are paid that much money, or unfair?","If you had to guess, in dollars per hour, what do you think the federal minimum wage is?","And in your opinion, in dollars per hour, what do you believe the federal minimum wage should be?","If you had to guess, in percentage, what do you believe the federal tax rate is for individuals making more than 500 thousand dollars per year?","And in your opinion, in percentage, what do you believe the federal tax rate should be for these individuals?","In general, do you believe that the government should redistribute wealth from the rich to the poor?","If the government were to redistribute wealth, do you think it would personally benefit you?","And if the government were to redistribute wealth, do you think it would benefit most of the people you know?","Would you support a universal basic income, in which every American would receive an annual sum of money from the government to pay for basic needs, like food and housing?",Do you feel that you are being fairly compensated by your employer for the work that you do?,"The average CEO is paid about 16 million dollars per year. Do you think it is fair that they are paid that much money, or unfair?","This next question is about your physical appearance, and you may choose not to respond if it makes you uncomfortable. On a scale of 1-10, how physically attractive are you?"
Female,70,65+,Black,20000,High school or less,Independent,Liberal,Strongly Disapprove,DK/REF,15,15,,,No,No,No,Yes,No,Unfair,Very attractive
Male,72,65+,White,56000,College degree,Independent,Moderate,Strongly Approve,Fair,12,50,3,10,No,Yes,Yes,Yes,DK/REF,Unfair,8
Female,82,65+,Black,,College degree,Democrat,Liberal,Strongly Disapprove,Fair,8.5,15,28,35,Yes,No,Yes,No,Yes,Unfair,6
Male,70,65+,Asian,,College degree,Independent,Moderate,DK/REF,DK/REF,,,,,Yes,Yes,DK/REF,Yes,No,DK/REF,DK/REF
Male,65,65+,Black,60000,College degree,Independent,Conservative,Somewhat Disapprove,Fair,14,14,33,15,No,Yes,Yes,No,No,Unfair,7
Female,53,45-54,White,,Graduate degree,Independent,Liberal,DK/REF,DK/REF,8,20,,,Yes,No,Yes,Yes,Yes,Unfair,8
Female,63,55-64,White,10000,High school or less,DK/REF,Moderate,Neither approve nor disapprove,Fair,8,10,,20,No,Yes,No,Yes,No,Unfair,4
Female,64,55-64,White,68000,Some college,Independent,Moderate,Somewhat Disapprove,Fair,15,14,21,3,No,No,No,DK/REF,No,Unfair,7
Male,64,55-64,Black,50000,High school or less,Independent,Conservative,Strongly Disapprove,Unfair,7.5,10,15,30,Yes,No,Yes,Yes,No,Unfair,9
Female,60,55-64,Black,,Some college,Democrat,Moderate,Strongly Disapprove,Fair,15,20,,15,Yes,No,No,Yes,DK/REF,Unfair,Very attractive
Male,66,65+,White,24000,High school or less,Democrat,Liberal,Strongly Disapprove,Fair,10,15,33,33,Yes,Yes,No,Yes,Yes,Unfair,5
Female,55,55-64,White,,High school or less,Republican,DK/REF,Somewhat Approve,Unfair,8,8,,,Yes,No,Yes,No,DK/REF,Unfair,5
Female,89,65+,White,,High school or less,Republican,Liberal,Strongly Disapprove,DK/REF,,,,,No,No,No,No,DK/REF,Unfair,5
Male,60,55-64,White,16000,College degree,Republican,DK/REF,Somewhat Approve,Unfair,9,8.5,,20,No,No,No,No,DK/REF,Unfair,7
Male,58,55-64,White,,College degree,Republican,Conservative,Strongly Approve,Fair,8,8,35,28,No,No,No,No,Yes,Fair,Very attractive
Male,85,65+,White,20000,Graduate degree,Independent,Moderate,Neither approve nor disapprove,Fair,6,5,30,30,No,Yes,No,No,Yes,Unfair,6
Female,84,65+,White,,College degree,Democrat,Moderate,Strongly Disapprove,Fair,,,,,Yes,Yes,DK/REF,Yes,DK/REF,Unfair,DK/REF
Male,80,65+,White,30000,Graduate degree,Republican,Conservative,Strongly Approve,Unfair,8,8.5,25,20,No,No,No,No,DK/REF,Unfair,5
Male,62,55-64,White,150000,Graduate degree,Independent,Conservative,Somewhat Approve,Unfair,10,7.5,38,20,No,No,No,No,Yes,Unfair,8
Female,70,65+,Black,2500,High school or less,Independent,Liberal,Strongly Disapprove,Unfair,7,7.5,35,,Yes,Yes,Yes,Yes,DK/REF,Unfair,Very attractive
Female,76,65+,White,,High school or less,Republican,Liberal,DK/REF,Fair,10,,,,Yes,No,Yes,No,No,DK/REF,5
Female,85,65+,White,12000,Some college,Republican,Conservative,Strongly Approve,Unfair,15,12,,20,Yes,No,Yes,Yes,No,Unfair,8
Female,70,65+,White,60000,Some college,Democrat,Liberal,Strongly Disapprove,DK/REF,,15,10,4,DK/REF,DK/REF,DK/REF,No,Yes,Unfair,DK/REF
Female,75,65+,White,14000,Some college,Independent,Moderate,Strongly Approve,Unfair,12,15,,,Yes,Yes,Yes,Yes,DK/REF,Unfair,8
Male,78,65+,White,30000,College degree,Republican,Conservative,Somewhat Approve,Unfair,8,10,26,25,No,No,No,No,DK/REF,Fair,5
Female,74,65+,White,36000,High school or less,Republican,Liberal,Neither approve nor disapprove,DK/REF,15,,,10,No,Yes,Yes,No,Yes,DK/REF,8
Female,52,45-54,White,,Some college,Democrat,DK/REF,Strongly Disapprove,Unfair,8,12,10,30,Yes,Yes,Yes,Yes,No,Unfair,6
Female,68,65+,White,,Some college,Independent,Conservative,Strongly Approve,DK/REF,15,15,,,Yes,Yes,Yes,Yes,DK/REF,DK/REF,DK/REF
Female,73,65+,White,,Some college,Republican,Moderate,Neither approve nor disapprove,Unfair,7,10,10,15,No,No,No,No,No,Unfair,DK/REF
Female,56,55-64,White,1000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Unfair,12,15,5,,Yes,Yes,Yes,Yes,Yes,Unfair,5
Male,87,65+,White,30000,Some college,Republican,Conservative,Strongly Approve,Fair,7.5,,25,25,No,No,No,No,Yes,Fair,7
Female,92,65+,White,,High school or less,Democrat,DK/REF,Somewhat Disapprove,Unfair,,,,,Yes,DK/REF,Yes,DK/REF,Yes,Unfair,8
Male,54,45-54,White,,College degree,Independent,Liberal,Strongly Disapprove,Unfair,12,18,30,,No,No,No,No,Yes,Unfair,8
Male,70,65+,White,80000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,6.75,15,28,,Yes,No,No,Yes,Yes,Unfair,7
Female,64,55-64,Black,20000,Some college,Independent,Conservative,Somewhat Disapprove,Fair,7,12,20,35,No,No,No,Yes,DK/REF,Fair,8
Female,73,65+,White,,High school or less,DK/REF,DK/REF,DK/REF,Unfair,,,75,,No,No,No,Yes,No,Unfair,3
Male,80,65+,White,,Some college,Republican,Conservative,Strongly Approve,Fair,,,50,15,No,No,No,No,Yes,Fair,DK/REF
Female,51,45-54,White,20000,College degree,Independent,Moderate,Strongly Disapprove,Fair,8,12,,15,No,No,No,No,Yes,Unfair,7
Female,37,35-44,White,,College degree,DK/REF,Moderate,Somewhat Approve,Unfair,8,10,,,No,Yes,No,No,No,Unfair,8
Male,48,45-54,Latino,300000,High school or less,Republican,Conservative,Strongly Approve,Fair,11.5,11.5,18,18,No,No,No,No,Yes,Fair,6
Female,30,25-34,White,53000,Graduate degree,Republican,Conservative,Somewhat Approve,Unfair,10.5,12.5,,10,No,No,No,No,No,Unfair,7
Female,69,65+,White,70000,Graduate degree,Republican,Conservative,Strongly Approve,Unfair,30,30,25,20,No,No,No,No,Yes,Unfair,DK/REF
Female,42,35-44,Asian,,Graduate degree,Democrat,Moderate,Neither approve nor disapprove,Unfair,12,12,,,Yes,Yes,Yes,Yes,Yes,Unfair,5
Male,20,18-24,White,,Some college,Republican,Conservative,Strongly Approve,Fair,7.25,10,40,30,Yes,Yes,Yes,Yes,Yes,Fair,Very attractive
Female,78,65+,White,20000,College degree,Republican,Conservative,Strongly Approve,DK/REF,2,5,15,10,No,No,No,No,Yes,DK/REF,8
Female,64,55-64,White,,High school or less,DK/REF,Moderate,Neither approve nor disapprove,DK/REF,7,,30,25,No,No,Yes,No,No,Unfair,6
Female,55,55-64,Black,85000,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,7,15,,,Yes,Yes,Yes,Yes,Yes,Unfair,8
Female,45,45-54,White,45000,College degree,Democrat,Liberal,Strongly Disapprove,Fair,7,10,10,42,No,Yes,Yes,No,No,Unfair,7
Female,30,25-34,Black,8000,College degree,Independent,Moderate,Strongly Disapprove,Unfair,12,18,,,Yes,Yes,Yes,Yes,DK/REF,Unfair,Very attractive
Male,75,65+,White,,Graduate degree,Republican,Conservative,Strongly Approve,Fair,12.5,,28,28,Yes,No,No,No,Yes,DK/REF,5
