id_,year,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,realinc,racecen1,relig,spkmslm,spkhomo,childs,age,educ,sex,partyid,spkath,spkrac,spkcom,spkmil,sexnow
1,2016,Yes,Yes,Yes,Yes,Yes,Yes,Yes,131676.6906,White,None,"Yes, allowed",Allowed,3,47,16,Male,Independent,Allowed,Allowed,Allowed,Allowed,Not applicable
2,2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25740,White,None,Not applicable,Not applicable,0,61,12,Male,"Ind,near dem",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
3,2016,No,No,Yes,No,Yes,No,No,38610,White,Catholic,Not allowed,Not allowed,2,72,16,Male,Not str republican,Allowed,Allowed,Allowed,Allowed,Not applicable
4,2016,No,No,Yes,No,Yes,No,No,131676.6906,White,Catholic,Not allowed,Allowed,4,43,12,Female,Not str republican,Not allowed,Not allowed,Not allowed,Allowed,Not applicable
5,2016,Yes,Yes,Yes,Yes,Yes,Yes,Yes,131676.6906,White,None,Not allowed,Allowed,2,55,18,Female,Not str democrat,Allowed,Not allowed,Allowed,Not allowed,Not applicable
6,2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,31590,White,None,Not applicable,Not applicable,2,53,14,Female,Not str democrat,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
7,2016,Yes,Yes,Yes,Yes,Yes,Yes,Yes,131676.6906,White,None,"Yes, allowed",Allowed,2,50,14,Male,Not str republican,Allowed,Allowed,Allowed,Allowed,Not applicable
8,2016,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15210,Hispanic,Catholic,Not allowed,Allowed,3,23,11,Female,"Ind,near dem",Allowed,Not allowed,Allowed,Allowed,Not applicable
9,2016,No,No,,No,No,No,No,31590,Black or african american,Protestant,"Yes, allowed",Allowed,3,45,12,Male,Strong democrat,Allowed,Allowed,Allowed,Not allowed,Not applicable
10,2016,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31590,White,None,Not allowed,Allowed,4,71,14,Male,Strong republican,Allowed,Not allowed,Not allowed,,Not applicable
11,2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,234,Black or african american,Protestant,Not applicable,Not applicable,5,33,12,Female,Strong democrat,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
12,2016,Yes,Yes,Yes,Yes,Yes,Yes,Yes,234,White,Protestant,Not allowed,Allowed,4,86,12,Female,Strong republican,Allowed,Allowed,,Not allowed,Not applicable
13,2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4212,Black or african american,Catholic,Not applicable,Not applicable,3,32,12,Male,"Ind,near dem",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
14,2016,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6435,Black or african american,Protestant,"Yes, allowed",Allowed,5,60,,Female,Strong democrat,Allowed,Allowed,,Allowed,Not applicable
15,2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,21060,White,Catholic,Not applicable,Not applicable,7,76,10,Male,Independent,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
16,2016,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25740,White,Other,"Yes, allowed",Allowed,2,33,13,Female,Independent,Allowed,Allowed,Allowed,Allowed,Not applicable
17,2016,Yes,No,Yes,No,Yes,No,No,25740,White,Protestant,Not allowed,,6,56,13,Male,,Not allowed,Not allowed,Not allowed,Not allowed,Not applicable
18,2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2574,Hispanic,Protestant,Not applicable,Not applicable,5,62,10,Female,Strong democrat,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
19,2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17550,Black or african american,None,Not applicable,Not applicable,0,31,18,Male,"Ind,near dem",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
20,2016,No,Yes,Yes,Yes,Yes,Yes,Yes,12870,Black or african american,Protestant,"Yes, allowed",Allowed,2,43,13,Male,Strong democrat,Allowed,Allowed,Allowed,Allowed,Not applicable
